Date,Open,fb_close,google_close,amazon_close,apple_close
2012/5/18,1305.050049,38.23,298.260101,213.850006,75.76857
2012/5/21,1295.72998,34.029999,305.070801,218.110001,80.182854
2012/5/22,1316.089966,31,298.458801,215.330002,79.567146
2012/5/23,1316.02002,32,302.760834,217.279999,81.508568
2012/5/24,1318.719971,33.029999,299.879578,215.240005,80.760002
2012/5/25,1320.810059,31.91,293.85376,212.889999,80.327141
2012/5/29,1318.900024,28.84,295.249695,214.75,81.752853
2012/5/30,1331.25,28.190001,292.214417,209.229996,82.738571
2012/5/31,1313.089966,29.6,288.553253,212.910004,82.53286
2012/6/1,1309.869995,27.719999,283.645172,208.220001,80.141426
2012/6/4,1278.290039,26.9,287.425568,214.570007,80.612854
2012/6/5,1277.819946,25.870001,283.362,213.210007,80.404289
2012/6/6,1285.609985,26.809999,288.40918,217.639999,81.637146
2012/6/7,1316.150024,26.309999,287.246735,218.800003,81.674286
2012/6/8,1314.98999,27.1,288.349579,218.479996,82.902855
2012/6/11,1325.719971,27.01,282.413177,216.5,81.595711
2012/6/12,1309.400024,27.4,280.724152,216.419998,82.308571
2012/6/13,1324.02002,27.27,278.732117,214.729996,81.737144
2012/6/14,1314.880005,28.290001,277.718719,214.449997,81.647141
2012/6/15,1329.189941,30.01,280.431061,218.350006,82.01857
2012/6/18,1342.420044,31.41,283.580566,222.660004,83.682854
2012/6/19,1344.829956,31.91,288.886078,224.029999,83.915718
2012/6/20,1358.040039,31.6,286.889069,223.020004,83.677139
2012/6/21,1355.430054,31.84,280.778809,220.570007,82.524284
2012/6/22,1325.920044,33.049999,283.893555,222.160004,83.157143
2012/6/25,1334.900024,32.060001,278.538391,220.070007,81.538574
2012/6/26,1314.089966,33.099998,280.515503,225.610001,81.718575
2012/6/27,1320.709961,32.23,282.810577,225.619995,82.071426
2012/6/28,1331.52002,31.360001,280.331726,221.309998,81.292854
2012/6/29,1330.119995,31.1,288.160797,228.350006,83.428574
2012/7/2,1362.329956,30.77,288.359497,229.320007,84.645714
2012/7/3,1365.75,31.200001,292.015717,229.529999,85.629997
2012/7/5,1373.719971,31.469999,296.034576,227.059998,87.134285
2012/7/6,1367.089966,31.73,291.09671,225.050003,86.554283
2012/7/9,1354.660034,32.169998,291.111603,225.050003,87.69857
2012/7/10,1352.959961,31.469999,288.97052,219.5,86.887146
2012/7/11,1341.400024,30.969999,283.749481,218.369995,86.347145
2012/7/12,1341.290039,30.809999,283.39679,215.360001,85.557144
2012/7/13,1334.810059,30.719999,286.397247,218.389999,86.424286
2012/7/16,1356.5,28.25,285.602417,216.009995,86.701431
2012/7/17,1353.680054,28.09,286.501587,216.929993,86.705711
2012/7/18,1363.579956,29.110001,288.503571,217.470001,86.608574
2012/7/19,1373.01001,29,294.613831,226.169998,87.760002
2012/7/20,1376.51001,28.76,303.436432,228.289993,86.328575
2012/7/23,1362.339966,28.75,305.766296,226.009995,86.261429
2012/7/24,1350.52002,28.450001,301.82193,223.039993,85.845711
2012/7/25,1338.349976,29.34,302.030579,217.050003,82.138573
2012/7/26,1338.170044,26.85,304.698242,220.009995,82.125717
2012/7/27,1360.050049,23.709999,315.428436,237.320007,83.594284
2012/7/30,1385.939941,23.15,314.107025,236.089996,85.004288
2012/7/31,1385.27002,21.709999,314.43988,233.300003,87.251427
2012/8/1,1379.319946,20.879999,314.295807,232.089996,86.687141
2012/8/2,1375.130005,20.040001,312.343506,230.809998,86.827141
2012/8/3,1365.449951,21.09,318.592865,234.970001,87.957146
2012/8/6,1391.040039,21.92,319.333038,233.990005,88.935715
2012/8/7,1394.459961,20.719999,318.200409,236.559998,88.701431
2012/8/8,1401.22998,20.719999,319.039948,234.380005,88.55143
2012/8/9,1402.26001,21.01,319.099579,234.059998,88.675713
2012/8/10,1402.579956,21.809999,318.92569,232.75,88.814285
2012/8/13,1405.869995,21.6,327.872498,232.440002,90
2012/8/14,1404.359985,20.379999,332.169556,233.190002,90.241432
2012/8/15,1403.890015,21.200001,331.61319,237.419998,90.118568
2012/8/16,1405.569946,19.870001,334.260956,241.550003,90.905716
2012/8/17,1415.839966,19.049999,336.382172,241.169998,92.587143
2012/8/20,1417.849976,20.01,335.587341,240.350006,95.021431
2012/8/21,1418.130005,19.16,332.591797,239.449997,93.722855
2012/8/22,1413.089966,19.440001,336.402039,243.100006,95.552856
2012/8/23,1413.48999,19.440001,336.213257,241.199997,94.66143
2012/8/24,1401.98999,19.41,337.122345,245.740005,94.745712
2012/8/27,1411.130005,19.15,332.447754,243.919998,96.525711
2012/8/28,1410.439941,19.34,336.436798,246.110001,96.400002
2012/8/29,1409.319946,19.1,341.782043,247.119995,96.209999
2012/8/30,1410.079956,19.09,338.637482,246.220001,94.83857
2012/8/31,1400.069946,18.059999,340.331482,248.270004,95.034286
2012/9/4,1406.540039,17.73,338.31955,247.880005,96.424286
2012/9/5,1404.939941,18.58,338.160583,246.220001,95.747147
2012/9/6,1403.73999,18.959999,347.440247,251.380005,96.610001
2012/9/7,1432.119995,18.98,350.793427,259.140015,97.205711
2012/9/10,1437.920044,18.809999,348.120819,257.089996,94.677139
2012/9/11,1429.130005,19.43,343.858521,255.669998,94.370003
2012/9/12,1433.560059,20.93,343.207764,255.630005,95.684288
2012/9/13,1436.560059,20.709999,350.73877,260.23999,97.568573
2012/9/14,1460.069946,22,352.547028,261.269989,98.754288
2012/9/17,1465.420044,21.52,352.696045,258,99.968575
2012/9/18,1461.189941,21.870001,356.819244,258.75,100.272858
2012/9/19,1459.5,23.290001,361.399445,261.679993,100.300003
2012/9/20,1461.050049,22.59,361.707428,260.809998,99.814285
2012/9/21,1460.339966,22.860001,364.623474,257.470001,100.012856
2012/9/24,1459.76001,20.790001,372.268738,254.800003,98.684288
2012/9/25,1456.939941,20.280001,372.159454,252.460007,96.220001
2012/9/26,1441.599976,20.620001,374.295563,249.669998,95.025711
2012/9/27,1433.359985,20.32,375.805756,256.589996,97.331429
2012/9/28,1447.130005,21.66,374.812195,254.320007,95.300003
2012/10/1,1440.900024,21.99,378.42868,252.009995,94.19857
2012/10/2,1444.98999,22.27,376.049164,250.600006,94.472855
2012/10/3,1446.050049,21.83,378.786346,255.919998,95.921425
2012/10/4,1451.079956,21.950001,381.543427,260.470001,95.257141
2012/10/5,1461.400024,20.91,381.344727,258.51001,93.227142
2012/10/8,1460.930054,20.4,376.471405,259.059998,91.167145
2012/10/9,1455.900024,20.23,369.640839,250.960007,90.835716
2012/10/10,1441.47998,19.639999,369.874329,244.990005,91.558571
2012/10/11,1432.819946,19.75,373.311951,244.220001,89.728569
2012/10/12,1432.839966,19.52,369.968719,242.360001,89.958572
2012/10/15,1428.75,19.52,368.095886,244.179993,90.68
2012/10/16,1440.310059,19.48,369.943878,243.940002,92.827141
2012/10/17,1454.219971,19.879999,375.304016,247.490005,92.087143
2012/10/18,1460.939941,18.98,345.254456,244.850006,90.377144
2012/10/19,1457.339966,19,338.692139,240,87.120003
2012/10/22,1433.209961,19.32,337.142212,233.779999,90.575714
2012/10/23,1433.73999,19.5,337.976776,234.309998,87.622856
2012/10/24,1413.199951,23.23,336.461639,228.490005,88.118568
2012/10/25,1409.73999,22.559999,336.690155,222.919998,87.077141
2012/10/26,1412.969971,21.940001,335.393585,238.240005,86.285713
2012/10/31,1410.98999,21.110001,337.951935,232.889999,85.045715
2012/11/1,1412.199951,21.209999,341.573395,232.139999,85.220001
2012/11/2,1427.589966,21.18,341.737335,232.419998,82.400002
2012/11/5,1414.02002,21.25,339.273346,234.330002,83.517143
2012/11/6,1417.26001,21.17,338.657349,237.559998,83.264282
2012/11/7,1428.27002,20.469999,331.404541,232.059998,79.714287
2012/11/8,1394.530029,19.99,324.037445,227.350006,76.821426
2012/11/9,1377.550049,19.209999,329.372742,226.309998,78.151428
2012/11/12,1379.859985,20.07,330.798462,226.470001,77.547142
2012/11/13,1380.030029,19.860001,327.395599,226.600006,77.557144
2012/11/14,1374.640015,22.360001,324.166595,222.949997,76.697144
2012/11/15,1355.410034,22.17,321.538696,220.600006,75.08857
2012/11/16,1353.359985,23.559999,321.498962,225.229996,75.382858
2012/11/19,1359.880005,22.92,331.946014,229.710007,80.818573
2012/11/20,1386.819946,23.1,332.820313,233.779999,80.129997
2012/11/21,1387.790039,24.32,330.783569,238.029999,80.242859
2012/11/23,1391.030029,24,331.826782,239.880005,81.64286
2012/11/26,1409.150024,25.940001,328.438812,243.619995,84.218575
2012/11/27,1406.290039,26.15,333.187927,243.399994,83.540001
2012/11/28,1398.77002,26.360001,339.626068,247.110001,83.277145
2012/11/29,1409.959961,27.32,343.709503,251.270004,84.194283
2012/11/30,1415.949951,28,346.928558,252.050003,83.611427
2012/12/3,1416.339966,27.040001,345.378632,250.330002,83.741432
2012/12/4,1409.459961,27.459999,343.282288,252.490005,82.264282
2012/12/5,1407.050049,27.709999,341.687653,253.960007,76.970001
2012/12/6,1409.430054,26.969999,343.33197,253.369995,78.177139
2012/12/7,1413.949951,27.49,339.894318,253.270004,76.178574
2012/12/10,1418.069946,27.84,340.495392,247.770004,75.688568
2012/12/11,1418.550049,27.98,346.188385,250.690002,77.341431
2012/12/12,1427.839966,27.58,346.526184,251.759995,77
2012/12/13,1428.47998,28.24,349.079559,251.25,75.669998
2012/12/14,1419.449951,26.809999,348.711975,249.190002,72.827141
2012/12/17,1413.540039,26.75,358.061157,253.860001,74.118568
2012/12/18,1430.469971,27.709999,358.205231,260.399994,76.271431
2012/12/19,1446.790039,27.41,357.728333,257.98999,75.187141
2012/12/20,1435.810059,27.360001,358.846039,261.5,74.53286
2012/12/21,1443.670044,26.26,355.502808,256.920013,74.190002
2012/12/24,1430.150024,26.93,352.457611,258.619995,74.309998
2012/12/26,1426.660034,26.51,352.144653,248.630005,73.285713
2012/12/27,1419.829956,26.049999,350.862976,248.309998,73.580002
2012/12/28,1418.099976,25.91,347.743256,245.179993,72.798569
2012/12/31,1402.430054,26.620001,351.404449,250.869995,76.024284
2013/1/2,1426.189941,28,359.288177,257.309998,78.432854
2013/1/3,1462.420044,27.77,359.496826,258.480011,77.442856
2013/1/4,1459.369995,28.76,366.600616,259.149994,75.285713
2013/1/7,1466.469971,29.42,365.001007,268.459991,74.842857
2013/1/8,1461.890015,29.059999,364.280701,266.380005,75.044289
2013/1/9,1457.150024,30.59,366.67514,266.350006,73.871429
2013/1/10,1461.02002,31.299999,368.344269,265.339996,74.78714
2013/1/11,1472.119995,31.719999,367.604095,267.940002,74.328575
2013/1/14,1472.050049,30.950001,359.288177,272.730011,71.678574
2013/1/15,1470.670044,30.1,360.122742,271.899994,69.417145
2013/1/16,1472.329956,29.85,355.28421,268.929993,72.298569
2013/1/17,1472.630005,30.139999,353.361725,270.480011,71.811432
2013/1/18,1480.949951,29.66,349.978729,272.119995,71.428574
2013/1/22,1485.97998,30.73,349.164032,270.190002,72.110001
2013/1/23,1492.560059,30.82,368.354218,268.109985,73.43
